"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"alpha7[2]",0.08,0.08,0.09,-0.1,0.27
"alpha7[3]",0.32,0.32,0.07,0.19,0.46
"epst.p[1, 1]",-0.15,-0.14,8.38,-16.5,16.76
"epst.p[2, 1]",-0.16,-0.14,7.67,-15.77,15.51
"epst.p[3, 1]",-8.38,-7.44,4.87,-20.95,-1.99
"epst.p[4, 1]",2.02,1.7,1.47,-0.03,5.56
"epst.p[5, 1]",-0.04,-0.06,3.11,-6.45,6.24
"epst.p[6, 1]",0.21,0.2,3.68,-6.65,7.51
"epst.p[7, 1]",0.01,-0.21,6.36,-12.49,12.97
"epst.p[8, 1]",0.04,-0.01,3.27,-6.58,6.7
"epst.p[9, 1]",-0.42,-0.63,7.85,-16.49,15.04
"epst.p[1, 2]",-7.44,-6.8,5.32,-19.5,2.65
"epst.p[2, 2]",-9.55,-8.59,4.33,-20.11,-4
"epst.p[3, 2]",6.58,5.42,5.13,0.04,19.25
"epst.p[4, 2]",1.66,1.34,1.38,0.05,5.04
"epst.p[5, 2]",2.51,1.99,2.06,-0.15,7.67
"epst.p[6, 2]",1.14,0.4,2.38,-1.14,8.34
"epst.p[7, 2]",-8.05,-7.28,3.49,-17.27,-3.67
"epst.p[8, 2]",-2.78,-2.52,2.44,-8.11,1.52
"epst.p[9, 2]",-8.86,-7.73,4.49,-19.51,-3.31
"epst.p[1, 3]",-8.42,-7.5,4.73,-19.29,-2.04
"epst.p[2, 3]",-7.73,-6.92,4.73,-19,-1.51
"epst.p[3, 3]",-9.32,-8.3,4.75,-21.37,-2.97
"epst.p[4, 3]",2.05,1.85,1.59,-0.06,6.01
"epst.p[5, 3]",-4.84,-4.4,1.95,-10.05,-2.33
"epst.p[6, 3]",-4.15,-4.03,1.02,-6.55,-2.57
"epst.p[7, 3]",-6.67,-5.79,4.09,-16.96,-1.48
"epst.p[8, 3]",-3.43,-3.12,2.28,-8.94,-0.13
"epst.p[9, 3]",-8.23,-7.24,4.55,-19.56,-2.08
"epst.p[1, 4]",-8.14,-7.32,4.7,-19.52,-1.87
"epst.p[2, 4]",-9.36,-8.4,4.13,-19.61,-3.98
"epst.p[3, 4]",7.79,6.62,5.28,1.18,20.45
"epst.p[4, 4]",0.19,0.15,0.52,-0.66,1.3
"epst.p[5, 4]",0.92,0.53,1.61,-0.97,5.34
"epst.p[6, 4]",-1.33,-1.36,0.81,-2.79,0.37
"epst.p[7, 4]",-8.12,-7.32,3.55,-16.94,-3.52
"epst.p[8, 4]",0.9,0.34,2.51,-2.35,7.61
"epst.p[9, 4]",-8.38,-7.38,4.22,-19.01,-2.98
"epst.p[1, 5]",-8.61,-7.69,4.51,-19.87,-2.46
"epst.p[2, 5]",-7.77,-6.78,4.67,-19.53,-1.7
"epst.p[3, 5]",-9.66,-8.53,4.76,-21.58,-3.68
"epst.p[4, 5]",0.27,0.22,0.62,-0.74,1.7
"epst.p[5, 5]",-1.4,-1.39,0.45,-2.32,-0.58
"epst.p[6, 5]",-4.11,-3.98,1.02,-6.55,-2.46
"epst.p[7, 5]",-6.48,-5.67,3.89,-16.02,-1.2
"epst.p[8, 5]",-3.29,-3.03,2.21,-8.48,0.29
"epst.p[9, 5]",-8.08,-7.13,4.4,-18.68,-2.21
"epst.p[1, 6]",-8.91,-7.98,4.42,-19.64,-3.12
"epst.p[2, 6]",-4.27,-4.2,0.78,-6.01,-2.93
"epst.p[3, 6]",4.49,2.55,5.13,-0.52,17.96
"epst.p[4, 6]",2.23,1.96,1.35,0.49,5.75
"epst.p[5, 6]",2.13,1.5,2.21,0.03,7.83
"epst.p[6, 6]",-1.57,-1.59,0.44,-2.4,-0.66
"epst.p[7, 6]",-5.32,-5.14,1.11,-7.92,-3.59
"epst.p[8, 6]",1.01,0.49,2.03,-1.42,6.75
"epst.p[9, 6]",-9.28,-8.36,4.13,-20.15,-4.07
"epst.p[1, 7]",-9.32,-8.24,4.52,-21.09,-3.58
"epst.p[2, 7]",-8.27,-7.2,4.57,-19.5,-2.26
"epst.p[3, 7]",-9.94,-8.84,4.5,-20.9,-4.22
"epst.p[4, 7]",-1.1,-1.09,0.32,-1.73,-0.48
"epst.p[5, 7]",0.2,0.2,0.33,-0.58,0.84
"epst.p[6, 7]",-0.42,-0.46,0.38,-1.07,0.36
"epst.p[7, 7]",-3.28,-3.16,1.2,-5.95,-1.3
"epst.p[8, 7]",0.37,-0.09,1.92,-1.87,5.64
"epst.p[9, 7]",-8.35,-7.46,4.41,-20.04,-2.53
"epst.p[1, 8]",-8.99,-7.9,4.54,-20.5,-3.04
"epst.p[2, 8]",-3.38,-3.32,0.66,-4.82,-2.21
"epst.p[3, 8]",6.06,4.62,5.47,-0.18,19.61
"epst.p[4, 8]",1.65,1.27,1.41,0.08,5.93
"epst.p[5, 8]",3.84,3.41,2.02,1.26,9.18
"epst.p[6, 8]",-5.33,-4.97,2.15,-10.81,-2.28
"epst.p[7, 8]",-5.06,-4.91,1.11,-7.6,-3.32
"epst.p[8, 8]",-1.67,-1.69,0.95,-3.46,0.24
"epst.p[9, 8]",-8.68,-7.78,4.39,-19.64,-3.16
"epst.p[1, 9]",-9.18,-8.21,4.36,-19.8,-3.41
"epst.p[2, 9]",-7.93,-7,4.56,-18.67,-1.79
"epst.p[3, 9]",-9.52,-8.43,4.71,-21.48,-3.34
"epst.p[4, 9]",-1.29,-1.28,0.43,-2.16,-0.45
"epst.p[5, 9]",0.07,0,0.8,-1.49,1.88
"epst.p[6, 9]",-3.89,-3.76,1.01,-6.19,-2.27
"epst.p[7, 9]",0.7,-0.26,3.15,-2.68,9.66
"epst.p[8, 9]",0.01,-0.46,2.2,-2.89,5.89
"epst.p[9, 9]",-8.12,-7.19,4.47,-19.69,-2
"epst.p[1, 10]",-7.72,-6.99,5.08,-19.43,1.36
"epst.p[2, 10]",-8.56,-7.73,4.38,-19.53,-2.82
